customer_id,region,loyalty_status
1000,South,Bronze
1001,North,Gold
1002,Central,Silver
1003,Central,Silver
1004,North,Bronze
1005,East,Bronze
1006,Central,Silver
1007,North,Bronze
1008,West,Bronze
1009,North,Platinum
1010,West,Gold
1011,Central,Gold
1012,South,Bronze
1013,West,Platinum
1014,West,Platinum
1015,East,Platinum
1016,West,Silver
1017,West,Gold
1018,North,Gold
1019,Central,Platinum
1020,Central,Bronze
1021,Central,Bronze
1022,Central,Platinum
1023,East,Gold
1024,East,Gold
1025,North,Platinum
1026,Central,Platinum
1027,North,Gold
1028,Central,Platinum
1029,North,Gold
1030,Central,Gold
1031,East,Bronze
1032,Central,Bronze
1033,South,Platinum
1034,East,Platinum
1035,South,Platinum
1036,Central,Silver
1037,South,Gold
1038,East,Silver
1039,West,Gold
1040,Central,Gold
1041,Central,Bronze
1042,East,Gold
1043,Central,Gold
1044,North,Gold
1045,South,Platinum
1046,South,Gold
1047,West,Bronze
1048,North,Bronze
1049,North,Bronze
1050,Central,Silver
1051,North,Silver
1052,East,Gold
1053,Central,Silver
1054,South,Gold
1055,South,Gold
1056,South,Platinum
1057,South,Gold
1058,West,Gold
1059,South,Silver
1060,West,Silver
1061,East,Gold
1062,West,Platinum
1063,South,Platinum
1064,East,Gold
1065,West,Platinum
1066,West,Bronze
1067,East,Bronze
1068,Central,Silver
1069,North,Gold
1070,North,Gold
1071,West,Platinum
1072,Central,Gold
1073,South,Silver
1074,South,Bronze
1075,West,Platinum
1076,North,Bronze
1077,East,Gold
1078,Central,Platinum
1079,North,Gold
1080,Central,Gold
1081,Central,Bronze
1082,Central,Silver
1083,South,Bronze
1084,Central,Platinum
1085,South,Gold
1086,South,Gold
1087,West,Bronze
1088,North,Gold
1089,Central,Gold
1090,South,Silver
1091,West,Bronze
1092,North,Gold
1093,North,Platinum
1094,North,Gold
1095,North,Platinum
1096,Central,Platinum
1097,East,Bronze
1098,Central,Gold
1099,West,Silver
1100,West,Platinum
1101,East,Gold
1102,Central,Bronze
1103,Central,Bronze
1104,South,Platinum
1105,North,Gold
1106,South,Bronze
1107,South,Platinum
1108,North,Silver
1109,East,Platinum
1110,North,Bronze
1111,East,Platinum
1112,West,Platinum
1113,Central,Bronze
1114,North,Gold
1115,South,Silver
1116,South,Silver
1117,South,Gold
1118,North,Gold
1119,East,Platinum
1120,North,Gold
1121,Central,Silver
1122,North,Silver
1123,West,Gold
1124,East,Bronze
1125,Central,Gold
1126,South,Platinum
1127,West,Bronze
1128,South,Gold
1129,West,Platinum
1130,West,Platinum
1131,South,Silver
1132,Central,Platinum
1133,South,Silver
1134,East,Silver
1135,Central,Platinum
1136,East,Platinum
1137,Central,Platinum
1138,North,Gold
1139,East,Silver
1140,North,Silver
1141,Central,Gold
1142,West,Gold
1143,West,Bronze
1144,North,Bronze
1145,Central,Bronze
1146,South,Bronze
1147,South,Platinum
1148,South,Silver
1149,West,Platinum
1150,North,Gold
1151,East,Platinum
1152,Central,Bronze
1153,South,Gold
1154,North,Silver
1155,East,Bronze
1156,East,Gold
1157,East,Gold
1158,South,Platinum
1159,North,Gold
1160,South,Silver
1161,West,Platinum
1162,North,Silver
1163,East,Silver
1164,West,Platinum
1165,South,Platinum
1166,Central,Silver
1167,North,Silver
1168,Central,Silver
1169,East,Silver
1170,West,Gold
1171,East,Gold
1172,North,Bronze
1173,North,Platinum
1174,East,Platinum
1175,South,Silver
1176,South,Platinum
1177,East,Platinum
1178,South,Platinum
1179,West,Silver
1180,North,Silver
1181,Central,Platinum
1182,West,Gold
1183,Central,Bronze
1184,South,Gold
1185,North,Platinum
1186,East,Gold
1187,West,Silver
1188,West,Platinum
1189,South,Silver
1190,South,Gold
1191,East,Platinum
1192,Central,Platinum
1193,Central,Gold
1194,Central,Platinum
1195,North,Gold
1196,Central,Platinum
1197,North,Gold
1198,West,Gold
1199,North,Platinum
1200,West,Bronze
1201,South,Gold
1202,South,Bronze
1203,East,Gold
1204,South,Bronze
1205,North,Gold
1206,East,Bronze
1207,East,Platinum
1208,Central,Bronze
1209,North,Gold
1210,East,Bronze
1211,North,Gold
1212,East,Silver
1213,East,Platinum
1214,West,Gold
1215,Central,Platinum
1216,South,Gold
1217,South,Silver
1218,Central,Bronze
1219,West,Silver
1220,North,Gold
1221,Central,Silver
1222,Central,Bronze
1223,North,Gold
1224,West,Bronze
1225,East,Platinum
1226,East,Bronze
1227,West,Platinum
1228,South,Gold
1229,West,Platinum
1230,East,Platinum
1231,West,Platinum
1232,Central,Gold
1233,North,Silver
1234,North,Bronze
1235,Central,Bronze
1236,North,Bronze
1237,North,Silver
1238,East,Bronze
1239,South,Bronze
1240,North,Bronze
1241,North,Bronze
1242,Central,Silver
1243,West,Bronze
1244,West,Platinum
1245,North,Gold
1246,East,Platinum
1247,East,Silver
1248,Central,Bronze
1249,South,Bronze
1250,Central,Platinum
1251,Central,Silver
1252,South,Platinum
1253,West,Platinum
1254,West,Gold
1255,West,Gold
1256,Central,Silver
1257,East,Gold
1258,North,Platinum
1259,North,Bronze
1260,East,Bronze
1261,East,Silver
1262,Central,Bronze
1263,Central,Gold
1264,Central,Gold
1265,North,Silver
1266,West,Gold
1267,East,Gold
1268,South,Silver
1269,Central,Platinum
1270,West,Bronze
1271,East,Silver
1272,West,Gold
1273,North,Silver
1274,East,Gold
1275,North,Bronze
1276,South,Gold
1277,South,Bronze
1278,South,Bronze
1279,West,Bronze
1280,East,Bronze
1281,South,Platinum
1282,West,Gold
1283,South,Gold
1284,Central,Silver
1285,West,Bronze
1286,North,Gold
1287,East,Platinum
1288,West,Gold
1289,Central,Gold
1290,South,Platinum
1291,East,Platinum
1292,East,Bronze
1293,Central,Platinum
1294,West,Platinum
1295,East,Bronze
1296,East,Silver
1297,North,Platinum
1298,East,Platinum
1299,South,Silver
1300,West,Silver
1301,Central,Silver
1302,South,Silver
1303,East,Silver
1304,West,Gold
1305,North,Gold
1306,Central,Silver
1307,South,Gold
1308,East,Platinum
1309,Central,Bronze
1310,North,Platinum
1311,Central,Bronze
1312,South,Bronze
1313,East,Gold
1314,East,Silver
1315,North,Gold
1316,East,Silver
1317,East,Bronze
1318,South,Bronze
1319,West,Silver
1320,North,Platinum
1321,Central,Bronze
1322,West,Gold
1323,South,Bronze
1324,North,Platinum
1325,West,Platinum
1326,West,Bronze
1327,West,Silver
1328,North,Bronze
1329,South,Bronze
1330,South,Gold
1331,Central,Silver
1332,West,Gold
1333,North,Silver
1334,West,Silver
1335,North,Gold
1336,West,Gold
1337,North,Silver
1338,North,Gold
1339,North,Gold
1340,North,Silver
1341,South,Silver
1342,Central,Platinum
1343,East,Bronze
1344,North,Platinum
1345,East,Bronze
1346,West,Platinum
1347,East,Gold
1348,Central,Silver
1349,East,Silver
1350,North,Silver
1351,East,Silver
1352,East,Gold
1353,East,Platinum
1354,Central,Silver
1355,West,Platinum
1356,Central,Bronze
1357,West,Platinum
1358,South,Silver
1359,Central,Gold
1360,Central,Silver
1361,East,Silver
1362,Central,Gold
1363,Central,Gold
1364,Central,Gold
1365,South,Silver
1366,North,Gold
1367,East,Platinum
1368,South,Bronze
1369,Central,Gold
1370,East,Bronze
1371,Central,Bronze
1372,South,Platinum
1373,South,Silver
1374,North,Gold
1375,South,Silver
1376,North,Platinum
1377,West,Platinum
1378,South,Platinum
1379,North,Platinum
1380,North,Bronze
1381,West,Silver
1382,Central,Silver
1383,East,Platinum
1384,East,Gold
1385,East,Gold
1386,West,Bronze
1387,South,Platinum
1388,East,Bronze
1389,South,Gold
1390,Central,Platinum
1391,West,Gold
1392,South,Gold
1393,North,Bronze
1394,West,Gold
1395,North,Bronze
1396,West,Platinum
1397,East,Platinum
1398,West,Gold
1399,Central,Gold
1400,South,Silver
1401,North,Platinum
1402,East,Gold
1403,South,Platinum
1404,East,Silver
1405,North,Platinum
1406,North,Gold
1407,Central,Silver
1408,Central,Silver
1409,South,Silver
1410,South,Silver
1411,West,Silver
1412,North,Gold
1413,Central,Bronze
1414,South,Bronze
1415,Central,Platinum
1416,West,Platinum
1417,North,Silver
1418,South,Bronze
1419,Central,Bronze
1420,West,Bronze
1421,North,Platinum
1422,South,Bronze
1423,Central,Bronze
1424,North,Bronze
1425,North,Gold
1426,West,Platinum
1427,North,Silver
1428,South,Platinum
1429,West,Silver
1430,South,Silver
1431,East,Silver
1432,South,Gold
1433,South,Gold
1434,South,Silver
1435,Central,Gold
1436,West,Bronze
1437,North,Platinum
1438,North,Silver
1439,East,Bronze
1440,South,Bronze
1441,Central,Bronze
1442,West,Silver
1443,North,Platinum
1444,East,Silver
1445,Central,Gold
1446,East,Silver
1447,East,Bronze
1448,Central,Silver
1449,North,Gold
1450,Central,Gold
1451,North,Gold
1452,West,Gold
1453,South,Bronze
1454,Central,Silver
1455,East,Silver
1456,West,Gold
1457,South,Silver
1458,North,Platinum
1459,East,Bronze
1460,East,Platinum
1461,West,Bronze
1462,Central,Bronze
1463,South,Platinum
1464,Central,Silver
1465,Central,Bronze
1466,North,Silver
1467,North,Platinum
1468,East,Bronze
1469,North,Gold
1470,South,Silver
1471,Central,Gold
1472,West,Silver
1473,West,Bronze
1474,West,Bronze
1475,East,Bronze
1476,Central,Bronze
1477,South,Platinum
1478,East,Bronze
1479,West,Gold
1480,Central,Silver
1481,Central,Silver
1482,South,Bronze
1483,West,Bronze
1484,North,Gold
1485,Central,Silver
1486,Central,Bronze
1487,Central,Gold
1488,North,Silver
1489,East,Bronze
1490,Central,Platinum
1491,Central,Platinum
1492,West,Bronze
1493,North,Silver
1494,North,Platinum
1495,South,Gold
1496,Central,Gold
1497,South,Bronze
1498,West,Gold
1499,West,Bronze
1500,North,Platinum
1501,West,Gold
1502,North,Platinum
1503,North,Silver
1504,West,Bronze
1505,East,Bronze
1506,East,Platinum
1507,West,Bronze
1508,East,Bronze
1509,Central,Bronze
1510,South,Gold
1511,Central,Gold
1512,West,Silver
1513,West,Platinum
1514,East,Silver
1515,North,Bronze
1516,West,Gold
1517,West,Gold
1518,Central,Bronze
1519,Central,Gold
1520,West,Bronze
1521,South,Platinum
1522,West,Silver
1523,South,Silver
1524,West,Platinum
1525,South,Bronze
1526,North,Silver
1527,East,Bronze
1528,West,Gold
1529,West,Silver
1530,Central,Bronze
1531,South,Silver
1532,South,Silver
1533,West,Gold
1534,South,Silver
1535,East,Bronze
1536,South,Silver
1537,East,Silver
1538,North,Bronze
1539,West,Platinum
1540,West,Gold
1541,Central,Gold
1542,South,Silver
1543,East,Platinum
1544,Central,Platinum
1545,West,Bronze
1546,Central,Platinum
1547,West,Silver
1548,East,Platinum
1549,Central,Silver
1550,East,Platinum
1551,East,Bronze
1552,West,Silver
